ID,Vendor,Wine,Region,Country,Vintage,Category,Vendor Wines,Size,Alcohol Volume,Slug,wineType,grapeVarieties,Sweetness,Freshness,Texture,fruitNotes,herbalNotes,mineralNotes,nuttyNotes,ageingNotes,Distributor,Cost ex Vat,Suggested Price,List Price,Barcode,SKU,Handle,Tags,Backorder,Name (from Distributor),Name (from Vendor),Vendor ID (from Vendor),Wine Count
1,Thomas Morey,"St.Aubin 1er Cru, Les Castets",Bourgogne,Francija,2022,Belo,1,750,"13,00%",thomas-morey-st.aubin-1er-cru-les-castets-2022-750ml,Belo,Chardonnay,0,,,,,,,,EVino,"€45,90","€72,80","61,99",,30059001,thomas-morey-st.aubin-1er-cru-les-castets-2022-750ml,"Belo,Bourgogne,Francija",checked,EVino,Thomas Morey,0059,001
2,Batič,Marlon,Vipavska Dolina,Slovenija,2022,Belo,1,750,"13,50%",batic-marlon-2022-750ml,Belo,Secret Blend,0,,,,,,,,Koželj,"€27,29","€43,28","49,99",,30003001,batic-marlon-2022-750ml,"Belo,Vipavska Dolina,Slovenija",checked,Koželj,Batič,0003,001
3,Gaja,Idda White,Sicilia,Italija,2020,Belo,1,750,"12,50%",gaja-idda-white-2020-750ml,Belo,Carricante,0,,,,,,,,EVino,"€30,50","€48,37","49,99",9125252120113,30027001,gaja-idda-white-2020-750ml,"Belo,Sicilia,Italija",checked,EVino,Gaja,0027,001
4,Movia,Veliko Chardonnay,Goriška Brda,Slovenija,2022,Belo,3,750,"13,50%",movia-veliko-chardonnay-2022-750ml,Belo,Chardonnay,0,,,,,,,,Koželj,"€27,15","€43,06","49,99",3830020473136,30044003,movia-veliko-chardonnay-2022-750ml,"Belo,Goriška Brda,Slovenija",checked,Koželj,Movia,0044,003
5,Edi Simčič,Fojana Rebula,Goriška Brda,Slovenija,2021,Belo,2,750,"13,00%",edi-simcic-fojana-rebula-2021-750ml,Belo,Ribolla Gialla,0,,,,,,,,EVino,"€32,00","€50,75","43,99",3831105001213,30021002,edi-simcic-fojana-rebula-2021-750ml,"Belo,Goriška Brda,Slovenija",checked,EVino,Edi Simčič,0021,002
6,Kristian Keber,Brda,Goriška Brda,Slovenija,2021,Belo,1,750,"12,00%",kristian-keber-brda-2021-750ml,Belo,"Ribolla Gialla,Friulano,Malvasia",0,,,,,,,,EVino,"€30,50","€48,37","41,99",8058159742021,30033001,kristian-keber-brda-2021-750ml,"Belo,Goriška Brda,Slovenija",checked,EVino,Kristian Keber,0033,001
7,Vincent Girardin,"Pouilly-Fuisse, Vieilles-Vignes",Bourgogne,Francija,2022,Belo,1,750,"13,00%",vincent-girardin-pouilly-fuisse-vieilles-vignes-2022-750ml,Belo,Chardonnay,0,,,,,,,,EVino,"€30,00","€47,58","40,99",,30067001,vincent-girardin-pouilly-fuisse-vieilles-vignes-2022-750ml,"Belo,Bourgogne,Francija",checked,EVino,Vincent Girardin,0067,001
8,Burja,Stranice,Vipavska Dolina,Slovenija,2020,Belo,1,750,"14,00%",burja-stranice-2020-750ml,Belo,"Ribolla Gialla,Malvasia,Welschriesling",0,,,,,,,,EVino,"€28,70","€45,52","38,99",3830053875506,30005001,burja-stranice-2020-750ml,"Belo,Vipavska Dolina,Slovenija",checked,EVino,Burja,0005,001
9,Livon,Braide Alte,Collio-Friuli,Italija,2021,Belo,1,750,"14,00%",livon-braide-alte-2021-750ml,Belo,"Chardonnay,Sauvignon Blanc",0,,,,,,,,EVino,"€27,90","€44,25","37,99",8024650030615,30036001,livon-braide-alte-2021-750ml,"Belo,Collio-Friuli,Italija",checked,EVino,Livon,0036,001
10,Pichler-Krutzler,"Riesling, Pfaffenberg",Kremstal,Avstrija,2022,Belo,1,750,"12,50%",pichler-krutzler-riesling-pfaffenberg-2022-750ml,Belo,Riesling,1,,,,,,,,EVino,"€25,50","€40,44","34,99",9120060173337,30049001,pichler-krutzler-riesling-pfaffenberg-2022-750ml,"Belo,Kremstal,Avstrija",checked,EVino,Pichler-Krutzler,0049,001
11,Sturm,Andritz Bianco,Collio-Friuli,Italija,2021,Belo,1,750,"14,00%",sturm-andritz-bianco-2021-750ml,Belo,"Sauvignon Blanc,Friulano",0,,,,,,,,EVino,"€25,60","€40,60","34,99",8059340000371,30055001,sturm-andritz-bianco-2021-750ml,"Belo,Collio-Friuli,Italija",checked,EVino,Sturm,0055,001
12,Movia,Veliko Belo,Goriška Brda,Slovenija,2022,Belo,2,750,"13,00%",movia-veliko-belo-2022-750ml,Belo,"Ribolla Gialla,Chardonnay,Sauvignon Blanc",0,,,,,,,,Koželj,"€22,31","€35,38","32,99",3830020472894,30044002,movia-veliko-belo-2022-750ml,"Belo,Goriška Brda,Slovenija",checked,Koželj,Movia,0044,002
13,Cambria,"Chardonnay, Katherine's Vineyard",Santa Maria,ZDA,2021,Belo,1,750,"14,00%",cambria-chardonnay-katherine's-vineyard-2021-750ml,Belo,Chardonnay,0,,,,,,,,EVino,"€23,04","€36,54","31,99",726319000028,30007001,cambria-chardonnay-katherine's-vineyard-2021-750ml,"Belo,Santa Maria,ZDA",checked,EVino,Cambria,0007,001
14,Čotar,Malvazija,Kras,Slovenija,2023,Belo,1,750,"12,00%",cotar-malvazija-2023-750ml,Belo,Malvasia,0,,,,,,,,Koželj,"€22,50","€35,69","35,99",3830070630206,30015001,cotar-malvazija-2023-750ml,"Belo,Kras,Slovenija",checked,Koželj,Čotar,0015,001
15,Čotar,Vitovska Grganja,Kras,Slovenija,2021,Belo,2,750,"12,00%",cotar-vitovska-grganja-2021-750ml,Belo,Vitovska Grganja,0,,,,,,,,Koželj,"€22,50","€35,69","35,99",,30015002,cotar-vitovska-grganja-2021-750ml,"Belo,Kras,Slovenija",checked,Koželj,Čotar,0015,002
16,Zidarich,Prulke,Kras,Italija,2022,Belo,1,750,"13,00%",zidarich-prulke-2022-750ml,Belo,"Sauvignon Blanc,Vitovska Grganja,Malvasia",0,,,,,,,,EVino,"€23,70","€37,59","31,99",8056234660048,30069001,zidarich-prulke-2022-750ml,"Belo,Kras,Slovenija",checked,EVino,Zidarich,0069,001
17,Montemoro,Orange Joy,Istra,Slovenija,2016,Belo,1,750,"14,50%",montemoro-orange-joy-2016-750ml,Belo,Malvasia,0,,,,,,,,Montemoro,"€15,72","€24,93","26,99",3830046510068,30043001,montemoro-orange-joy-2016-750ml,"Belo,Istra,Slovenija",checked,Montemoro,Montemoro,0043,001
18,Oremus,Mandolas,Tokaji,Madžarska,2021,Belo,1,750,"13,50%",oremus-mandolas-2021-750ml,Belo,Furmint,0,,,,,,,,EVino,"€20,00","€31,72","26,99",5998835040214,30046001,oremus-mandolas-2021-750ml,"Belo,Tokaji,Madžarska",checked,EVino,Oremus,0046,001
19,Villa Fabiani,"Pikolit, Suho",Kras,Slovenija,2022,Belo,1,750,"13,00%",villa-fabiani-pikolit-suho-2022-750ml,Belo,Picolit,1,,,,,,,,Koželj,"€14,18","€22,49","30,99",,30066001,villa-fabiani-pikolit-suho-2022-750ml,"Belo,Kras,Slovenija",checked,Koželj,Villa Fabiani,0066,001
20,Edi Keber,Collio Bianco,Collio-Friuli,Italija,2022,Belo,1,750,"13,00%",edi-keber-collio-bianco-2022-750ml,Belo,"Ribolla Gialla,Malvasia,Friulano",0,,,,,,,,EVino,"€18,50","€29,34","24,99",3058159742014,30020001,edi-keber-collio-bianco-2022-750ml,"Belo,Collio-Friuli,Italija",checked,EVino,Edi Keber,0020,001
21,Kmetija Mlečnik,Sauvignonasse,Vipavska Dolina,Slovenija,2018,Belo,1,750,"12,00%",kmetija-mlecnik-sauvignonasse-2018-750ml,Belo,Friulano,0,,,,,,,,Koželj,"€17,64","€27,98","28,99",,30031001,kmetija-mlecnik-sauvignonasse-2018-750ml,"Belo,Vipavska Dolina,Slovenija",checked,Koželj,Kmetija Mlečnik,0031,001
22,La Chablisienne,"Chablis, Les Venerables",Bourgogne,Francija,2021,Belo,1,750,"12,00%",la-chablisienne-chablis-les-venerables-2021-750ml,Belo,Chardonnay,0,,,,,,,,EVino,"€18,30","€29,02","24,99",3332418000608,30034001,la-chablisienne-chablis-les-venerables-2021-750ml,"Belo,Bourgogne,Francija",checked,EVino,La Chablisienne,0034,001
23,Edi Simčič,Chardonnay,Goriška Brda,Slovenija,2021,Belo,1,750,"14,50%",edi-simcic-chardonnay-2021-750ml,Belo,Chardonnay,0,,,,,,,,EVino,"€17,00","€26,96","24,99",3831105000940,30021001,edi-simcic-chardonnay-2021-750ml,"Belo,Goriška Brda,Slovenija",checked,EVino,Edi Simčič,0021,001
24,Movia,Sauvignon Blanc,Goriška Brda,Slovenija,2022,Belo,1,750,"13,00%",movia-sauvignon-blanc-2022-750ml,Belo,Sauvignon Blanc,1,,,,,,,,Koželj,"€16,23","€25,74","24,99",3830020473167,30044001,movia-sauvignon-blanc-2022-750ml,"Belo,Goriška Brda,Slovenija",checked,Koželj,Movia,0044,001
25,Familija,"Sauvignon Blanc, Veliki Vrh",Haloze,Slovenija,2023,Belo,1,750,"13,50%",familija-sauvignon-blanc-veliki-vrh-2023-750ml,Belo,Sauvignon Blanc,1,,,,,,,,EVino,"€14,90","€23,63","20,99",3830022300065,30023001,familija-sauvignon-blanc-veliki-vrh-2023-750ml,"Belo,Haloze,Slovenija",checked,EVino,Familija,0023,001
26,Korenika-Moškon,Malvazija Selekcija,Istra,Slovenija,2018,Belo,1,750,"13,50%",korenika-moskon-malvazija-selekcija-2018-750ml,Belo,Malvasia,0,,,,,,,,Koželj,"€12,76","€20,24","22,99",3830080180166,30032001,korenika-moskon-malvazija-selekcija-2018-750ml,"Belo,Istra,Slovenija",checked,Koželj,Korenika-Moškon,0032,001
27,Michele Chiarlo,"Gavi di Gavi, Rovereto",Piemonte,Italija,2022,Belo,1,750,"13,00%",michele-chiarlo-gavi-di-gavi-rovereto-2022-750ml,Belo,Cortese,0,,,,,,,,EVino,"€14,90","€23,63","19,99",8002365001205,30042001,michele-chiarlo-gavi-di-gavi-rovereto-2022-750ml,"Belo,Piemonte,Italija",checked,EVino,Michele Chiarlo,0042,001
28,Sutor,White,Vipavska Dolina,Slovenija,2020,Belo,1,750,"14,50%",sutor-white-2020-750ml,Belo,"Malvasia,Ribolla Gialla",0,,,,,,,,EVino,"€13,50","€21,41","18,99",3830054165083,30056001,sutor-white-2020-750ml,"Belo,Vipavska Dolina,Slovenija",checked,EVino,Sutor,0056,001
29,Sturm,Ribolla Gialla,Collio-Friuli,Italija,2022,Belo,2,750,"13,00%",sturm-ribolla-gialla-2022-750ml,Belo,Ribolla Gialla,0,,,,,,,,EVino,"€13,60","€21,57","20,99",8059340000401,30055002,sturm-ribolla-gialla-2022-750ml,"Belo,Collio-Friuli,Italija",checked,EVino,Sturm,0055,002
30,Michele Chiarlo,"Roero Arneis, Le Madri",Piemonte,Italija,2023,Belo,2,750,"13,00%",michele-chiarlo-roero-arneis-le-madri-2023-750ml,Belo,Arneis,0,,,,,,,,EVino,"€12,00","€19,03","20,99",8002365006101,30042002,michele-chiarlo-roero-arneis-le-madri-2023-750ml,"Belo,Piemonte,Italija",checked,EVino,Michele Chiarlo,0042,002
31,Butul,"Malvazija, Baby",Istra,Slovenija,2024,Belo,1,750,"12,00%",butul-malvazija-baby-2024-750ml,Belo,Malvasia,0,,,,,,,,Butul,"€10,00","€15,86","14,99",,30006001,butul-malvazija-baby-2024-750ml,"Belo,Istra,Slovenija",checked,Butul,Butul,0006,001
32,Elena Walch,Pinot Bianco,Alto Adige,Italija,2023,Belo,1,750,"13,00%",elena-walch-pinot-bianco-2023-750ml,Belo,Pinot Blanc,0,,,,,,,,EVino,"€10,30","€16,34","13,99",9000905003221,30022001,elena-walch-pinot-bianco-2023-750ml,"Belo,Alto Adige,Italija",checked,EVino,Elena Walch,0022,001
33,Santomas,Malvazija,Istra,Slovenija,2023,Belo,1,750,"13,00%",santomas-malvazija-2023-750ml,Belo,Malvasia,0,,,,,,,,Koželj,"€8,84","€14,02","14,99",3830086120036,30053001,santomas-malvazija-2023-750ml,"Belo,Istra,Slovenija",checked,Koželj,Santomas,0053,001
34,Pieropan,Soave Classico,Veneto,Italija,2023,Belo,1,750,"12,00%",pieropan-soave-classico-2023-750ml,Belo,Garganega,0,,,,,,,,EVino,"€9,40","€14,91","12,99",8023352000018,30050001,pieropan-soave-classico-2023-750ml,"Belo,Veneto,Italija",checked,EVino,Pieropan,0050,001
35,Banfi,"Vermentino, La Pettegola",Toscana,Italija,2024,Belo,1,750,"13,00%",banfi-vermentino-la-pettegola-2024-750ml,Belo,Vermentino,0,,,,,,,,EVino,"€8,50","€13,48","11,99",8015674010271,30002001,banfi-vermentino-la-pettegola-2024-750ml,"Belo,Toscana,Italija",checked,EVino,Banfi,0002,001
36,Marko Sirk,Malvazija,Goriška Brda,Slovenija,2023,Belo,1,750,"12,50%",marko-sirk-malvazija-2023-750ml,Belo,Malvasia,0,,,,,,,,EVino,"€7,80","€12,37","10,99",3830028885764,30038001,marko-sirk-malvazija-2023-750ml,"Belo,Goriška Brda,Slovenija",checked,EVino,Marko Sirk,0038,001
37,Tonin,Malvazija,Istra,Slovenija,2023,Belo,1,750,"12,00%",tonin-malvazija-2023-750ml,Belo,Malvasia,0,,,,,,,,Koželj,"€6,50","€10,31","9,99",3830019640525,30061001,tonin-malvazija-2023-750ml,"Belo,Istra,Slovenija",checked,Koželj,Tonin,0061,001
38,Zaro,Malvazija,Istra,Slovenija,2020,Belo,1,750,"12,50%",zaro-malvazija-2020-750ml,Belo,Malvasia,0,,,,,,,,Koželj,"€7,39","€11,72","10,99",,30068001,zaro-malvazija-2020-750ml,"Belo,Istra,Slovenija",checked,Koželj,Zaro,0068,001
39,Ruinart,Blanc de Blancs,Champagne,Francija,NV,Mehurčki,1,750,"12,50%",ruinart-blanc-de-blancs-nv-750ml,Mehurčki,Chardonnay,0,,,,,,,,EVino,"€65,20","€103,41","87,99",3185370303405,10052001,ruinart-blanc-de-blancs-nv-750ml,"Mehurčki,Champagne,Francija",checked,EVino,Ruinart,0052,001
40,Charles Heidsieck,Brut Reserve,Champagne,Francija,NV,Mehurčki,1,750,"12,00%",charles-heidsieck-brut-reserve-nv-750ml,Mehurčki,"Chardonnay,Pinot Noir,Pinot Meunier",0,,,,,,,,EVino,"€43,40","€68,83","58,99",3037900003678,10009001,charles-heidsieck-brut-reserve-nv-750ml,"Mehurčki,Champagne,Francija",checked,EVino,Charles Heidsieck,0009,001
41,Medot,Millesime,Goriška Brda,Slovenija,2014,Mehurčki,2,750,"12,00%",medot-millesime-2014-750ml,Mehurčki,"Ribolla Gialla,Chardonnay",0,,,,,,,,Koželj,"€25,89","€41,06","44,99",3830038322099,10041002,medot-millesime-2014-750ml,"Mehurčki,Goriška Brda,Slovenija",checked,Koželj,Medot,0041,002
42,Bjana,Cuvee Prestige,Goriška Brda,Slovenija,2020,Mehurčki,1,750,"12,50%",bjana-cuvee-prestige-2020-750ml,Mehurčki,"Chardonnay,Ribolla Gialla",0,,,,,,,,EVino,"€28,00","€44,41","37,99",3830055730020,10004001,bjana-cuvee-prestige-2020-750ml,"Mehurčki,Goriška Brda,Slovenija",checked,EVino,Bjana,0004,001
43,Medot,Rose,Goriška Brda,Slovenija,NV,Mehurčki,3,750,"12,00%",medot-rose-nv-750ml,Mehurčki,"Pinot Noir,Ribolla Gialla",0,,,,,,,,Koželj,"€22,57","€35,80","36,99",3830057370002,10041003,medot-rose-nv-750ml,"Mehurčki,Goriška Brda,Slovenija",checked,Koželj,Medot,0041,003
44,Medot,Brut 48,Goriška Brda,Slovenija,NV,Mehurčki,1,750,"12,50%",medot-brut-48-nv-750ml,Mehurčki,"Chardonnay,Ribolla Gialla,Pinot Noir",0,,,,,,,,Koželj,"€17,93","€28,44","32,99",3830038321092,10041001,medot-brut-48-nv-750ml,"Mehurčki,Goriška Brda,Slovenija",checked,Koželj,Medot,0041,001
45,Marko Sirk,Marcus Brut Rose,Goriška Brda,Slovenija,2022,Mehurčki,3,750,"12,00%",marko-sirk-marcus-brut-rose-2022-750ml,Mehurčki,Pinot Noir,0,,,,,,,,EVino,"€16,80","€26,64","22,99",3830086120012,10038003,marko-sirk-marcus-brut-rose-2022-750ml,"Mehurčki,Goriška Brda,Slovenija",checked,EVino,Marko Sirk,0038,003
46,Marko Sirk,Marcus Brut Nature,Goriška Brda,Slovenija,2022,Mehurčki,2,750,"12,00%",marko-sirk-marcus-brut-nature-2022-750ml,Mehurčki,Chardonnay,0,,,,,,,,EVino,"€15,20","€24,11","20,99",3830086120005,10038002,marko-sirk-marcus-brut-nature-2022-750ml,"Mehurčki,Goriška Brda,Slovenija",checked,EVino,Marko Sirk,0038,002
47,La Vigna di Sarah,Grappoli di Luna Extra Brut,Prosecco,Italija,2023,Mehurčki,1,750,"11,50%",la-vigna-di-sarah-grappoli-di-luna-extra-brut-2023-750ml,Mehurčki,Glera,1,,,,,,,,EVino,"€11,90","€18,87","15,99",8052086570313,10035001,la-vigna-di-sarah-grappoli-di-luna-extra-brut-2023-750ml,"Mehurčki,Prosecco,Italija",checked,EVino,La Vigna di Sarah,0035,001
48,Francois Mikulski,"Volnay 1er Cru, Santenots",Bourgogne,Francija,2008,Rdeče,1,750,"13,00%",francois-mikulski-volnay-1er-cru-santenots-2008-750ml,Rdeče,Pinot Noir,0,,,,,,,,EVino,"€95,00","€150,67","128,99",5236552555513,40026001,francois-mikulski-volnay-1er-cru-santenots-2008-750ml,"Rdeče,Bourgogne,Francija",checked,EVino,Francois Mikulski,0026,001
49,Vincent Girardin,"Gevrey-Chambertin, Vieilles-Vignes",Bourgogne,Francija,2022,Rdeče,2,750,"13,00%",vincent-girardin-gevrey-chambertin-vieilles-vignes-2022-750ml,Rdeče,Pinot Noir,0,,,,,,,,EVino,"€74,50","€118,16","100,99",,40067002,vincent-girardin-gevrey-chambertin-vieilles-vignes-2022-750ml,"Rdeče,Bourgogne,Francija",checked,EVino,Vincent Girardin,0067,002
50,Chateau du Tertre,Margaux,Bordeaux,Francija,2020,Rdeče,1,750,"13,50%",chateau-du-tertre-margaux-2020-750ml,Rdeče,"Cabernet Sauvignon,Cabernet Franc,Merlot,Petit Verdot",0,,,,,,,,EVino,"€56,00","€88,82","75,99",3760126363775,40010001,chateau-du-tertre-margaux-2020-750ml,"Rdeče,Bordeaux,Francija",checked,EVino,Chateau du Tertre,0010,001
51,Chateau Phelan-Segur,Saint-Estephe,Bordeaux,Francija,2019,Rdeče,1,750,"14,00%",chateau-phelan-segur-saint-estephe-2019-750ml,Rdeče,"Cabernet Sauvignon,Merlot,Cabernet Franc",0,,,,,,,,EVino,"€54,00","€85,64","72,99",3609051042938,40013001,chateau-phelan-segur-saint-estephe-2019-750ml,"Rdeče,Bordeaux,Francija",checked,EVino,Chateau Phelan-Segur,0013,001
52,Vincent Girardin,"Pommard, Vieilles-Vignes",Bourgogne,Francija,2022,Rdeče,3,750,"13,00%",vincent-girardin-pommard-vieilles-vignes-2022-750ml,Rdeče,Pinot Noir,0,,,,,,,,EVino,"€52,60","€83,42","70,99",,40067003,vincent-girardin-pommard-vieilles-vignes-2022-750ml,"Rdeče,Bourgogne,Francija",checked,EVino,Vincent Girardin,0067,003
53,Marques de Murieta,Gran Reserva,Rioja,Španija,2015,Rdeče,1,750,"14,00%",marques-de-murieta-gran-reserva-2015-750ml,Rdeče,"Tempranillo,Mourvedre,Grenache,Carignan",0,,,,,,,,Koželj,"€39,00","€61,85","72,99",8411509157027,40039001,marques-de-murieta-gran-reserva-2015-750ml,"Rdeče,Rioja,Španija",checked,Koželj,Marques de Murieta,0039,001
54,Ogier,Chateauneuf-du-Pape,Val de Rhone,Francija,2021,Rdeče,1,750,"14,50%",ogier-chateauneuf-du-pape-2021-750ml,Rdeče,"Grenache,Syrah,Cinsault,Mourvedre",0,,,,,,,,Koželj,"€42,69","€67,71","72,99",3510804130379,40045001,ogier-chateauneuf-du-pape-2021-750ml,"Rdeče,Val de Rhone,Francija",checked,Koželj,Ogier,0045,001
55,Fontodi,"Syrah, Case Via",Toscana,Italija,2019,Rdeče,1,750,"15,00%",fontodi-syrah-case-via-2019-750ml,Rdeče,Syrah,0,,,,,,,,EVino,"€41,80","€66,29","56,99",8021019000050,40025001,fontodi-syrah-case-via-2019-750ml,"Rdeče,Toscana,Italija",checked,EVino,Fontodi,0025,001
56,Banfi,Brunello di Montalcino,Toscana,Italija,2018,Rdeče,2,750,"15,00%",banfi-brunello-di-montalcino-2018-750ml,Rdeče,Sangiovese,0,,,,,,,,EVino,"€36,50","€57,89","49,99",8015674530168,40002002,banfi-brunello-di-montalcino-2018-750ml,"Rdeče,Toscana,Italija",checked,EVino,Banfi,0002,002
57,Domaine Sparr,"Pinot Noir, Carpe Diem",Alsace,Francija,2021,Rdeče,1,750,"13,00%",domaine-sparr-pinot-noir-carpe-diem-2021-750ml,Rdeče,Pinot Noir,0,,,,,,,,EVino,"€36,80","€58,36","49,99",3760112662509,40017001,domaine-sparr-pinot-noir-carpe-diem-2021-750ml,"Rdeče,Alsace,Francija",checked,EVino,Domaine Sparr,0017,001
58,Chateau Lassegue,Saint-Emilion,Bordeaux,Francija,2021,Rdeče,1,750,"14,50%",chateau-lassegue-saint-emilion-2021-750ml,Rdeče,"Merlot,Cabernet Franc,Cabernet Sauvignon",0,,,,,,,,EVino,"€35,00","€55,51","47,99",3760136175153,40011001,chateau-lassegue-saint-emilion-2021-750ml,"Rdeče,Bordeaux,Francija",checked,EVino,Chateau Lassegue,0011,001
