ID,Vendor,Wine,Region,Country,Vintage,Category,Vendor Wines,Size,Alcohol Volume,Slug,wineType,grapeVarieties,Sweetness,Freshness,Texture,fruitNotes,herbalNotes,mineralNotes,nuttyNotes,ageingNotes,Distributor,Cost ex Vat,Suggested Price,List Price,Barcode,SKU,Handle,Tags,Backorder,Name (from Distributor),Name (from Vendor),Vendor ID (from Vendor),Wine Count
124,Campo di Sasso,SOF,Toscana,Italija,2022,Rose,2,750,"12,50%",campo-di-sasso-sof-2022-750ml,Rose,"Cabernet Franc,Syrah",0,,,,,,,,EVino,"€18,70","€29,66","29,99",2838312345674,20076002,campo-di-sasso-sof-2022-750ml,"Rose,Toscana,Italija",checked,EVino,Campo di Sasso,0076,002
125,Sveti Martin,Pinela,Vipavska Dolina,Slovenija,2024,Belo,1,750,"12,50%",sveti-martin-pinela-2024-750ml,Belo,Pinela,0,,,,,,,,Sveti Martin,"€7,70","€12,21","11,99",,30075001,sveti-martin-pinela-2024-750ml,"Belo,Vipavska Dolina,Slovenija",checked,Sveti Martin,Sveti Martin,0075,001
126,Sveti Martin,Barbera,Vipavska Dolina,Slovenija,2021,Rdeče,2,750,"14,00%",sveti-martin-barbera-2021-750ml,Rdeče,Barbera,0,,,,,,,,Sveti Martin,"€11,20","€17,76","16,99",,40075002,sveti-martin-barbera-2021-750ml,"Rdeče,Vipavska Dolina,Slovenija",checked,Sveti Martin,Sveti Martin,0075,002
127,Kendall-Jackson,"Cabernet Reserve, Vintners Reserve",California,ZDA,2019,Rdeče,1,750,"14,50%",kendall-jackson-cabernet-reserve-vintners-reserve-2019-750ml,Rdeče,Cabernet Sauvignon,0,,,,,,,,EVino,"€19,13","€30,34","29,99",81584013174,40078001,kendall-jackson-cabernet-reserve-vintners-reserve-2019-750ml,"Rdeče,California,ZDA",checked,EVino,Kendall-Jackson,0078,001
128,Montis,Malvazija,Istra,Slovenija,2022,Belo,1,750,"14,50%",montis-malvazija-2022-750ml,Belo,Malvasia,0,,,,,,,,Montis,"€10,80","€17,13","16,99",,30079001,montis-malvazija-2022-750ml,"Belo,Istra,Slovenija",checked,Montis,Montis,0079,001
129,Montis,"Laura, Refošk",Istra,Slovenija,2021,Rdeče,2,750,"12,00%",montis-laura-refosk-2021-750ml,Rdeče,Refosco,0,,,,,,,,Montis,"€20,52","€32,54","29,99",,40079002,montis-laura-refosk-2021-750ml,"Rdeče,Istra,Slovenija",checked,Montis,Montis,0079,002
130,Mansus,"Dimenzija, Klarnica",Vipavska Dolina,Slovenija,2018,Belo,1,750,"13,00%",mansus-dimenzija-klarnica-2018-750ml,Belo,Klarnica,0,,,,,,,,Koželj,"€18,80","€29,82","28,99",,30080001,mansus-dimenzija-klarnica-2018-750ml,"Belo,Vipavska Dolina,Slovenija",checked,Koželj,Mansus,0080,001
131,Mansus,Marse,Vipavska Dolina,Slovenija,2017,Rdeče,2,750,"12,50%",mansus-marse-2017-750ml,Rdeče,Marselan,0,,,,,,,,Koželj,"€8,91","€14,13","17,99",,40080002,mansus-marse-2017-750ml,"Rdeče,Vipavska Dolina,Slovenija",checked,Koželj,Mansus,0080,002
132,Batič,Rose,Vipavska Dolina,Slovenija,2024,Rose,2,750,"12,50%",batic-rose-2024-750ml,Rose,"Cabernet Sauvignon,Merlot",2,,,,,,,,Koželj,"€13,70","€21,73","24,99",,20003002,batic-rose-2024-750ml,"Rose,Vipavska Dolina,Slovenija",checked,Koželj,Batič,0003,002
133,Rodica,Malvazija,Istra,Slovenija,2022,Belo,2,750,"13,50%",rodica-malvazija-2022-750ml,Belo,Malvasia,0,,,,,,,,Koželj,"€10,33","€16,38","16,99",,30051002,rodica-malvazija-2022-750ml,"Belo,Istra,Slovenija",checked,Koželj,Rodica,0051,002
134,Čarga,Jakot,Goriška Brda,Slovenija,2021,Belo,1,750,"13,00%",carga-jakot-2021-750ml,Belo,Friulano,0,,,,,,,,Čarga,"€8,40","€13,32","13,99",,30081001,carga-jakot-2021-750ml,"Belo,Goriška Brda,Slovenija",checked,Čarga,Čarga,0081,001
135,Čarga,Cabernet Franc,Goriška Brda,Slovenija,2020,Rdeče,2,750,"13,50%",carga-cabernet-franc-2020-750ml,Rdeče,Cabernet Franc,0,,,,,,,,Čarga,"€12,60","€19,98","18,99",,40081002,carga-cabernet-franc-2020-750ml,"Rdeče,Goriška Brda,Slovenija",checked,Čarga,Čarga,0081,002
137,Sinefinis,Blanc de Blancs,Goriška Brda,Slovenija,2019,Mehurčki,1,750,"12,50%",sinefinis-blanc-de-blancs-2019-750ml,Mehurčki,Chardonnay,0,5,3,2,1,4,2,2,EVino,"€16,15","€25,61","27,99",8053251511049,10083001,sinefinis-blanc-de-blancs-2019-750ml,"Mehurčki,Goriška Brda,Collio-Friuli,Slovenija,Italija",checked,EVino,Sinefinis,0083,001
138,Nicolas Rossignol,Aligote de Bourgogne,Bourgogne,Francija,2021,Belo,1,750,"13,00%",nicolas-rossignol-aligote-de-bourgogne-2021-750ml,Belo,Aligote,0,5,2,3,3,4,1,1,EVino,"€25,00","€39,65","39,99",1199356987857,30084001,nicolas-rossignol-aligote-de-bourgogne-2021-750ml,"Belo,Bourgogne,Francija",checked,EVino,Nicolas Rossignol,0084,001
139,Burja,Bela,Vipavska Dolina,Slovenija,2023,Belo,3,750,"13,00%",burja-bela-2023-750ml,Belo,"Malvasia,Welschriesling,Ribolla Gialla,Secret Blend",0,4,4,4,2,2,0,0,EVino,"€11,73","€18,60","18,99",3830053682703,30005003,burja-bela-2023-750ml,"Belo,Vipavska Dolina,Slovenija",checked,EVino,Burja,0005,003
140,Blažič,Cabernet Sauvignon ,Goriška Brda,Slovenija,2022,Rdeče,1,750,"13,00%",blazic-cabernet-sauvignon--2022-750ml,Rdeče,Cabernet Sauvignon,1,3,5,4,4,0,2,2,EVino,"€8,50","€13,48","15,99",3830075550066,40085001,blazic-cabernet-sauvignon--2022-750ml,"Rdeče,Goriška Brda,Slovenija",checked,EVino,Blažič,0085,001
141,Zidarich,Ruje,Kras,Italija,2017,Rdeče,2,750,"13,50%",zidarich-ruje-2017-750ml,Rdeče,"Merlot,Refosco",1,3,5,4,3,1,2,4,EVino,"€38,25","€60,66","59,99",6038312345674,40069002,zidarich-ruje-2017-750ml,"Rdeče,Kras,Italija",checked,EVino,Zidarich,0069,002
142,Ferdinand,Sivi Pinot,Goriška Brda,Slovenija,2023,Belo,2,750,"13,50%",ferdinand-sivi-pinot-2023-750ml,Belo,Pinot Gris,0,3,1,3,3,3,0,0,EVino,"€8,07","€12,80","13,99",3830036330577,30024002,ferdinand-sivi-pinot-2023-750ml,"Belo,Goriška Brda,Slovenija",checked,EVino,Ferdinand,0024,002
143,Sveti Martin,Rose,Vipavska Dolina,Slovenija,2024,Rose,3,750,"12,50%",sveti-martin-rose-2024-750ml,Rose,"Merlot,Barbera",1,4,1,5,1,2,0,0,Sveti Martin,"€7,70","€12,21","12,99",,20075003,sveti-martin-rose-2024-750ml,"Rose,Vipavska Dolina,Slovenija",checked,Sveti Martin,Sveti Martin,0075,003
144,Kalos,First Edition,Vipavska Dolina,Slovenija,2021,Mehurčki,1,750,"12,50%",kalos-first-edition-2021-750ml,Mehurčki,"Chardonnay,Pinela,Ribolla Gialla",1,8,4,5,2,4,2,5,Kalos,"€80,00","€126,88","127,99",,10086001,kalos-first-edition-2021-750ml,"Mehurčki,Vipavska Dolina,Slovenija",checked,Kalos,Kalos,0086,001
145,Kalos,Beta,Vipavska Dolina,Slovenija,2022,Mehurčki,2,750,"12,00%",kalos-beta-2022-750ml,Mehurčki,"Chardonnay,Ribolla Gialla",1,9,5,3,3,5,2,5,Kalos,"€50,00","€79,30","81,99",,10086002,kalos-beta-2022-750ml,"Mehurčki,Vipavska Dolina,Slovenija",checked,Kalos,Kalos,0086,002
147,Tonin,"Refošk, Premium",Istra,Slovenija,2023,Rdeče,3,750,"13,50%",tonin-refosk-premium-2023-750ml,Rdeče,Refosco,1,7,3,8,3,1,0,0,Tonin,"€8,90","€14,12","14,99",,40061003,tonin-refosk-premium-2023-750ml,"Rdeče,Istra,Slovenija",checked,Tonin,Tonin,0061,003
148,Blažič,Rebula,Goriška Brda,Slovenija,2022,Belo,2,750,"12,00%",blazic-rebula-2022-750ml,Belo,Ribolla Gialla,0,9,3,4,3,6,0,1,EVino,"€8,50","€13,48","14,99",,30085002,blazic-rebula-2022-750ml,"Belo,Goriška Brda,Slovenija",checked,EVino,Blažič,0085,002
149,Ferdinand,"Rebula, Epoca",Goriška Brda,Slovenija,2022,Belo,3,750,"13,00%",ferdinand-rebula-epoca-2022-750ml,Belo,Ribolla Gialla,0,7,6,4,4,6,3,3,EVino,"€15,30","€24,27","25,99",,30024003,ferdinand-rebula-epoca-2022-750ml,"Belo,Goriška Brda,Slovenija",checked,EVino,Ferdinand,0024,003
150,Dolfo,"Cabernet Sauvignon, Reserva",Goriška Brda,Slovenija,2019,Rdeče,1,750,"15,50%",dolfo-cabernet-sauvignon-reserva-2019-750ml,Rdeče,Cabernet Sauvignon,2,5,6,7,4,1,3,5,EVino,"€15,72","€24,93","24,99",,40087001,dolfo-cabernet-sauvignon-reserva-2019-750ml,"Rdeče,Goriška Brda,Slovenija",checked,EVino,Dolfo,0087,001
151,Domaine Ruet,Beaujolais Nouveau,Beaujolais,Francija,2024,Rdeče,1,750,"12,50%",domaine-ruet-beaujolais-nouveau-2024-750ml,Rdeče,Gamay,2,10,1,10,2,2,0,0,Koželj,"€5,73","€9,09","9,99",,40088001,domaine-ruet-beaujolais-nouveau-2024-750ml,"Rdeče,Beaujolais,Francija",checked,Koželj,Domaine Ruet,0088,001
152,Jakončič,"Carolina, Rdeča",Goriška Brda,Slovenija,2021,Rdeče,1,750,"14,50%",jakoncic-carolina-rdeca-2021-750ml,Rdeče,"Cabernet Sauvignon,Cabernet Franc,Merlot",1,5,6,6,4,2,4,3,Koželj,"€22,03","€34,94","34,99",,40089001,jakoncic-carolina-rdeca-2021-750ml,"Rdeče,Goriška Brda,Slovenija",checked,Koželj,Jakončič,0089,001
153,Chateau Patache d'Aux,Médoc,Bordeaux,Francija,2015,Rdeče,1,750,"13,00%",chateau-patache-d'aux-médoc-2015-750ml,Rdeče,"Merlot,Cabernet Sauvignon,Petit Verdot",1,6,6,6,6,3,3,6,Koželj,"€16,67","€26,44","26,99",,40090001,chateau-patache-d'aux-médoc-2015-750ml,"Rdeče,Bordeaux,Francija",checked,Koželj,Chateau Patache d'Aux,0090,001
154,Kmetija Mlečnik,Merlot,Vipavska Dolina,Slovenija,2015,Rdeče,2,750,"12,00%",kmetija-mlecnik-merlot-2015-750ml,Rdeče,Merlot,0,8,4,6,6,5,2,8,Koželj,"€19,02","€30,17","30,99",,40031002,kmetija-mlecnik-merlot-2015-750ml,"Rdeče,Vipavska Dolina,Slovenija",checked,Koželj,Kmetija Mlečnik,0031,002
155,Šuklje,"Vrbanjka, Modra Frankinja",Bela Krajina,Slovenija,2020,Rdeče,1,750,"13,50%",suklje-vrbanjka-modra-frankinja-2020-750ml,Rdeče,Blaufrankisch,2,6,7,8,5,3,1,1,Koželj,"€19,03","€30,19","30,99",,40091001,suklje-vrbanjka-modra-frankinja-2020-750ml,"Rdeče,Bela Krajina,Slovenija",checked,Koželj,Šuklje,0091,001
156,Marof,Beli Križ,Prekmurje,Slovenija,2024,Belo,1,750,"11,50%",marof-beli-kriz-2024-750ml,Belo,"Welschriesling,Chardonnay,Sauvignon Blanc",0,9,2,5,4,2,0,0,Koželj,"€5,24","€8,31","8,99",,30092001,marof-beli-kriz-2024-750ml,"Belo,Prekmurje,Slovenija",checked,Koželj,Marof,0092,001
157,Chateau des Jacques,Moulin-a-Vent,Beaujolais,Francija,2014,Rdeče,1,750,"13,00%",chateau-des-jacques-moulin-a-vent-2014-750ml,Rdeče,Gamay,2,8,6,9,4,2,2,4,Koželj,"€15,08","€23,92","23,99",,40093001,chateau-des-jacques-moulin-a-vent-2014-750ml,"Rdeče,Beaujolais,Francija",checked,Koželj,Chateau des Jacques,0093,001
158,M.Chapoutier,"Petite Ruche, Crozes-Hermitage",Val de Rhone,Francija,2022,Belo,2,750,"12,50%",m.chapoutier-petite-ruche-crozes-hermitage-2022-750ml,Belo,"Marsanne,Rousanne",0,8,6,5,6,7,4,1,Koželj,"€14,71","€23,33","23,99",,30037002,m.chapoutier-petite-ruche-crozes-hermitage-2022-750ml,"Belo,Val de Rhone,Francija",checked,Koželj,M.Chapoutier,0037,002
159,Castelfeder,Gewurztraminer Vom Lehm,Alto Adige,Italija,2021,Belo,2,750,"14,50%",castelfeder-gewurztraminer-vom-lehm-2021-750ml,Belo,Gewurztraminer,3,8,5,10,2,5,0,2,Koželj,"€14,82","€23,50","23,99",,30008002,castelfeder-gewurztraminer-vom-lehm-2021-750ml,"Belo,Alto Adige,Italija",checked,Koželj,Castelfeder,0008,002
160,KlenArt,Rosa,Istra,Slovenija,2023,Rose,1,750,"12,00%",klenart-rosa-2023-750ml,Rose,Pinot Noir,1,8,3,9,2,5,0,0,Klenar,"€6,50","€10,31","10,99",,20095001,klenart-rosa-2023-750ml,"Rose,Istra,Slovenija",checked,Klenar,KlenArt,0095,001
161,KlenArt,"Cabernet Sauvignon, Vrh",Istra,Slovenija,2020,Rdeče,2,750,"14,50%",klenart-cabernet-sauvignon-vrh-2020-750ml,Rdeče,Cabernet Sauvignon,1,4,7,7,4,2,3,5,Klenar,"€15,00","€23,79","25,99",,40095002,klenart-cabernet-sauvignon-vrh-2020-750ml,"Rdeče,Istra,Slovenija",checked,Klenar,KlenArt,0095,002
162,KlenArt,"Modri Pinot, Tinja",Istra,Slovenija,2019,Rdeče,3,750,"14,00%",klenart-modri-pinot-tinja-2019-750ml,Rdeče,Pinot Noir,1,6,6,5,5,5,3,6,Klenar,"€15,00","€23,79","25,99",,40095003,klenart-modri-pinot-tinja-2019-750ml,"Rdeče,Istra,Slovenija",checked,Klenar,KlenArt,0095,003
163,Rojac,Renero,Istra,Slovenija,2018,Rdeče,1,750,"15,50%",rojac-renero-2018-750ml,Rdeče,Refosco,2,5,9,6,5,2,7,6,Koželj,"€27,15","€43,06","42,99",,40097001,rojac-renero-2018-750ml,"Rdeče,Istra,Slovenija",checked,Koželj,Rojac,0097,001
164,Bjana,Brut,Goriška Brda,Slovenija,NV,Mehurčki,2,750,"12,00%",bjana-brut-nv-750ml,Mehurčki,"Chardonnay,Pinot Noir",2,8,4,6,2,5,5,2,EVino,"€15,72","€24,93","25,99",,10004002,bjana-brut-nv-750ml,"Mehurčki,Goriška Brda,Slovenija",checked,EVino,Bjana,0004,002
165,Kendall-Jackson,"Chardonnay, Vintners Reserve",California,ZDA,2023,Belo,2,750,"13,50%",kendall-jackson-chardonnay-vintners-reserve-2023-750ml,Belo,Chardonnay,3,5,6,8,1,1,4,2,EVino,"€13,17","€20,89","20,99",,30078002,kendall-jackson-chardonnay-vintners-reserve-2023-750ml,"Belo,California,ZDA",checked,EVino,Kendall-Jackson,0078,002
166,Colnar,Cviček,Dolenjska,Slovenija,2023,Rdeče,1,750,"10,00%",colnar-cvicek-2023-750ml,Rdeče,"Žametna Črnina,Blaufrankisch,Kraljevina,Welschriesling",0,10,1,9,3,2,0,0,EVino,"€3,82","€6,06","6,99",,40098001,colnar-cvicek-2023-750ml,"Rdeče,Dolenjska,Slovenija",checked,EVino,Colnar,0098,001
167,Edi Simčič,"I can't Stop, Sauvignonasse",Goriška Brda,Slovenija,2019,Belo,4,750,"14,00%",edi-simcic-i-can't-stop-sauvignonasse-2019-750ml,Belo,Friulano,1,5,7,5,2,6,5,6,EVino,"€16,15","€25,61","25,99",,30021004,edi-simcic-i-can't-stop-sauvignonasse-2019-750ml,"Belo,Goriška Brda,Slovenija",checked,EVino,Edi Simčič,0021,004
168,Gross,Haloze Blanc,Haloze,Slovenija,2022,Belo,1,750,"13,00%",gross-haloze-blanc-2022-750ml,Belo,"Furmint,Welschriesling,Sauvignon Blanc",1,8,6,6,6,4,2,3,EVino,"€9,61","€15,24","15,99",,30099001,gross-haloze-blanc-2022-750ml,"Belo,Haloze,Slovenija",checked,EVino,Gross,0099,001
169,Dolfo,Merlot,Goriška Brda,Slovenija,2022,Rdeče,2,750,"13,00%",dolfo-merlot-2022-750ml,Rdeče,Merlot,1,6,7,7,4,2,3,2,EVino,"€7,82","€12,40","13,99",,40087002,dolfo-merlot-2022-750ml,"Rdeče,Goriška Brda,Slovenija",checked,EVino,Dolfo,0087,002
170,Tilia,Rumeni Muškat,Vipavska Dolina,Slovenija,2023,Belo,3,750,"10,50%",tilia-rumeni-muskat-2023-750ml,Belo,Moscato Giallo,5,6,2,10,2,2,0,0,EVino,"€7,48","€11,86","13,99",,30060003,tilia-rumeni-muskat-2023-750ml,"Belo,Vipavska Dolina,Slovenija",checked,EVino,Tilia,0060,003
171,Altos Las Hormigas,Malbec Clasico,Mendoza,Argentina,2022,Rdeče,1,750,"13,50%",altos-las-hormigas-malbec-clasico-2022-750ml,Rdeče,Malbec,2,7,8,8,5,1,4,3,EVino,"€11,81","€18,73","19,99",,40100001,altos-las-hormigas-malbec-clasico-2022-750ml,"Rdeče,Mendoza,Argentina",checked,EVino,Altos Las Hormigas,0100,001
172,Tonin,"Iris, Brut Nature",Istra,Slovenija,2023,Mehurčki,4,750,"12,50%",tonin-iris-brut-nature-2023-750ml,Mehurčki,"Malvasia,Chardonnay",0,9,4,3,3,5,2,1,Tonin,"€9,99","€15,84","15,99",,10061004,tonin-iris-brut-nature-2023-750ml,"Mehurčki,Istra,Slovenija",checked,Tonin,Tonin,0061,004
173,Edi Simčič,Duet Lex,Goriška Brda,Slovenija,2020,Rdeče,4,750,,edi-simcic-duet-lex-2020-750ml,Rdeče,"Merlot,Cabernet Franc,Cabernet Sauvignon",,,,,,,,,EVino,"€34,00","€53,92","54,99",,40021004,edi-simcic-duet-lex-2020-750ml,"Rdeče,Goriška Brda,Slovenija",checked,EVino,Edi Simčič,0021,004
174,Edi Simčič,Triton,Goriška Brda,Slovenija,2021,Belo,5,750,,edi-simcic-triton-2021-750ml,Belo,"Friulano,Pinot Blanc,Ribolla Gialla,Malvasia",,,,,,,,,EVino,"€12,75","€20,22","20,99",,30021005,edi-simcic-triton-2021-750ml,"Belo,Goriška Brda,Slovenija",checked,EVino,Edi Simčič,0021,005
175,Gašper,Cabernet Franc,Goriška Brda,Slovenija,2022,Rdeče,2,750,,gasper-cabernet-franc-2022-750ml,Rdeče,Cabernet Franc,,,,,,,,,EVino,"€25,07","€39,76","39,99",,40028002,gasper-cabernet-franc-2022-750ml,"Rdeče,Goriška Brda,Slovenija",checked,EVino,Gašper,0028,002
176,Gašper,Rebula Selekcija,Goriška Brda,Slovenija,2021,Belo,3,750,,gasper-rebula-selekcija-2021-750ml,Belo,Ribolla Gialla,,,,,,,,,EVino,"€12,66","€20,08","20,99",,30028003,gasper-rebula-selekcija-2021-750ml,"Belo,Goriška Brda,Slovenija",checked,EVino,Gašper,0028,003
177,Can Sumoi,Sumoll-Garnatxa,Penedes,Španija,2021,Rdeče,2,750,,can-sumoi-sumoll-garnatxa-2021-750ml,Rdeče,"Grenache,Sumol",,,,,,,,,EVino,"€10,20","€16,18","16,99",,40074002,can-sumoi-sumoll-garnatxa-2021-750ml,"Rdeče,Penedes,Španija",checked,EVino,Can Sumoi,0074,002
178,Pieropan,"La Rocca, Soave Classico",Veneto,Italija,2023,Belo,3,750,,pieropan-la-rocca-soave-classico-2023-750ml,Belo,Garganega,,,,,,,,,EVino,"€25,50","€40,44","35,99",,30050003,pieropan-la-rocca-soave-classico-2023-750ml,"Belo,Veneto,Italija",checked,EVino,Pieropan,0050,003
179,Pieropan,Amarone,Veneto,Italija,2018,Rdeče,4,750,,pieropan-amarone-2018-750ml,Rdeče,"Corvina,Molinara,Rondinella,Croatina",,,,,,,,,EVino,"€35,02","€55,54","55,99",,40050004,pieropan-amarone-2018-750ml,"Rdeče,Veneto,Italija",checked,EVino,Pieropan,0050,004
180,Gaja,Idda Sicilia Red,Sicilia,Italija,2019,Rdeče,4,750,,gaja-idda-sicilia-red-2019-750ml,Rdeče,Nerello Mascalese,,,,,,,,,EVino,"€25,93","€41,12","41,99",,40027004,gaja-idda-sicilia-red-2019-750ml,"Rdeče,Sicilia,Italija",checked,EVino,Gaja,0027,004
181,Gradisciutta,Franconia,Collio-Friuli,Italija,2020,Rdeče,1,750,,gradisciutta-franconia-2020-750ml,Rdeče,Blaufrankisch,,,,,,,,,EVino,"€9,18","€14,56","14,99",,40101001,gradisciutta-franconia-2020-750ml,"Rdeče,Collio-Friuli,Italija",checked,EVino,Gradisciutta,0101,001
182,Dandelion,Enchanted Garden of the Eden Valley,Eden Valley,Avstralija,2021,Belo,1,750,,dandelion-enchanted-garden-of-the-eden-valley-2021-750ml,Belo,Riesling,,,,,,,,,EVino,"€10,79","€17,11","17,99",,30102001,dandelion-enchanted-garden-of-the-eden-valley-2021-750ml,"Belo,Eden Valley,Avstralija",checked,EVino,Dandelion,0102,001
183,San Roman,Prima,Toro,Španija,2019,Rdeče,1,750,,san-roman-prima-2019-750ml,Rdeče,"Tempranillo,Grenache",,,,,,,,,EVino,"€8,50","€13,48","14,99",,40103001,san-roman-prima-2019-750ml,"Rdeče,Toro,Španija",checked,EVino,San Roman,0103,001
184,Butul,Muškatna,Istra,Slovenija,2023,Belo,3,750,,butul-muskatna-2023-750ml,Belo,Muscat of Alexandria,4,7,3,10,,,,,Butul,"€11,00","€17,45","17,99",,30006003,butul-muskatna-2023-750ml,"Belo,Istra,Slovenija",checked,Butul,Butul,0006,003
185,Frešer,"Markus, Renski Rizling",Maribor,Slovenija,2022,Belo,1,750,,freser-markus-renski-rizling-2022-750ml,Belo,Riesling,,,,,,,,,Koželj,"€11,00","€17,45","16,99",,30104001,freser-markus-renski-rizling-2022-750ml,"Belo,Maribor,Slovenija",checked,Koželj,Frešer,0104,001
186,Frešer,"Markus, Modri Pinot",Maribor,Slovenija,2022,Rdeče,2,750,,freser-markus-modri-pinot-2022-750ml,Rdeče,Pinot Noir,,,,,,,,,Koželj,"€12,86","€20,40","19,99",,40104002,freser-markus-modri-pinot-2022-750ml,"Rdeče,Maribor,Slovenija",checked,Koželj,Frešer,0104,002
187,Tonin,"Malvazija, Premium",Istra,Slovenija,2023,Belo,5,750,"12,50%",tonin-malvazija-premium-2023-750ml,Belo,Malvasia,,,,,,,,,Tonin,"€9,99","€15,84","15,99",,30061005,tonin-malvazija-premium-2023-750ml,"Belo,Istra,Slovenija",checked,Tonin,Tonin,0061,005
188,Plahuta,Rose,Istra,Slovenija,2024,Rose,1,750,"12,50%",plahuta-rose-2024-750ml,Rose,Refosco,,,,,,,,,Plahuta,"€6,00","€9,52","10,99",,20105001,plahuta-rose-2024-750ml,"Sladko,Istra,Slovenija,Rose",checked,Plahuta,Plahuta,0105,001
189,Plahuta,Cipro,Istra,Slovenija,2017,Sladko,2,500,"15,00%",plahuta-cipro-2017-500ml,Sladko,Cipro,5,,,,,,,,Plahuta,"€7,00","€11,10","11,99",,50105002,plahuta-cipro-2017-500ml,"Sladko,Istra,Slovenija",checked,Plahuta,Plahuta,0105,002